Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
649216a3fd74d781b8c6374b,60e4c1ed4967ef05aa4f5ac0,APPROVED,2023-06-20T21:14:15.677000Z,2023-06-20T21:22:44.601000Z,2023-06-21T14:48:43.065000,2023-06-20T21:22:48.252025Z,509,C92BA3A3,2,23,Male,DATA_EXPIRED,United States,United States,United States,English,No,DATA_EXPIRED
649217e13d5566e93e76d95b,612e884e2ec0438a171eda90,APPROVED,2023-06-20T21:19:32.483000Z,2023-06-20T21:29:45.510000Z,2023-06-21T14:49:08.217000,2023-06-20T21:29:47.829274Z,614,C92BA3A3,217,35,Female,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking)
649218de0520979b2b5b035a,5f0f9dd625153217f188084b,APPROVED,2023-06-20T21:24:04.125000Z,2023-06-20T21:43:26.441000Z,2023-06-21T14:49:08.381000,2023-06-20T21:43:26.919445Z,1163,C92BA3A3,813,58,Female,Mixed,United States,United States,United States,English,No,Part-Time
64921908cb362559c5f5eb11,647f5b72256d6f1e6fe0d7b7,APPROVED,2023-06-20T21:24:31.939000Z,2023-06-20T21:39:58.551000Z,2023-06-21T14:48:43.224000,2023-06-20T21:39:59.482810Z,927,C92BA3A3,12,54,Male,White,Portugal,United States,United States,English,No,Part-Time
6492198a6f5f84a8f823858e,5397abb5fdf99b1ccc3f1223,APPROVED,2023-06-20T21:26:38.996000Z,2023-06-20T21:34:35.331000Z,2023-06-21T14:48:43.823000,2023-06-20T21:34:35.846386Z,477,C92BA3A3,828,31,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
649219b5f71550eb01644081,6110953a4611ca7111e010d7,APPROVED,2023-06-20T21:27:30.340000Z,2023-06-20T21:32:00.962000Z,2023-06-21T14:49:08.540000,2023-06-20T21:32:01.899860Z,271,C92BA3A3,152,21,Female,White,United States,United States,United States,English,Yes,Part-Time
649219fb99e3729e0dc7ed66,631813267e7e782d6759550b,APPROVED,2023-06-20T21:28:30.871000Z,2023-06-20T21:33:55.708000Z,2023-06-21T14:48:43.970000,2023-06-20T21:33:56.190129Z,325,C92BA3A3,829,27,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64921a6da7ad89c75c51ea9f,629916508c39af7f2a9a37ac,APPROVED,2023-06-20T21:30:25.088000Z,2023-06-20T21:35:01.058000Z,2023-06-21T14:49:08.697000,2023-06-20T21:35:02.531385Z,276,C92BA3A3,209,27,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
64921be575627348bd767114,644153e98cfd7f44f61c1d1c,APPROVED,2023-06-20T21:36:43.203000Z,2023-06-20T21:47:06.284000Z,2023-06-21T14:49:09.232000,2023-06-20T21:47:06.825371Z,624,C92BA3A3,85,48,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
64921caa656f7a7a2a948ee0,64408b4921bee382014b3233,APPROVED,2023-06-20T21:39:58.363000Z,2023-06-20T21:46:50.780000Z,2023-06-21T14:49:09.391000,2023-06-20T21:46:53.421465Z,413,C92BA3A3,112,63,Female,White,United States,United States,United States,English,No,Part-Time
64921cbdcb9d3c09f692eafa,63d401231ce1adad24d6c9f7,APPROVED,2023-06-20T21:40:17.255000Z,2023-06-20T21:47:57.226000Z,2023-06-21T14:48:44.126000,2023-06-20T21:47:57.733823Z,460,C92BA3A3,67,26,Male,White,United States,United States,United States,English,Yes,Due to start a new job within the next month
64921cce3c44b4398522c4fa,644f3fab7952c36c2bfa3393,APPROVED,2023-06-20T21:41:25.499000Z,2023-06-20T21:57:49.647000Z,2023-06-21T14:49:09.549000,2023-06-20T21:57:50.404984Z,985,C92BA3A3,12,54,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
64921ce99aeb3b91fb9317ae,63d7dbe5ff4bd7d5e6caef3c,APPROVED,2023-06-20T21:49:27.435000Z,2023-06-20T21:55:13.884000Z,2023-06-21T14:48:44.300000,2023-06-20T21:55:14.385994Z,347,C92BA3A3,439,27,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED
64921cf72feccf01e4adaace,60ff2e1740bd729c09d69392,APPROVED,2023-06-20T21:41:13.496000Z,2023-06-20T21:45:28.045000Z,2023-06-21T14:49:09.708000,2023-06-20T21:45:28.747762Z,255,C92BA3A3,938,23,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64921cfe77baaa03ab3a4b91,640a9c59dbc97d5a09a18c6f,APPROVED,2023-06-20T21:41:23.525000Z,2023-06-20T21:54:05.259000Z,2023-06-21T14:48:44.446000,2023-06-20T21:54:05.983110Z,762,C92BA3A3,261,19,Male,Mixed,United States,United States,United States,English,Yes,Other
64921d1d56f32674d9bc32ed,608078f433346dd7a841b511,APPROVED,2023-06-20T21:41:53.835000Z,2023-06-20T21:53:02.986000Z,2023-06-21T14:49:09.873000,2023-06-20T21:53:03.441638Z,670,C92BA3A3,532,38,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64921d20ec8b7983a6a4ae74,63cc4ca8aa8ed478722c8a7c,APPROVED,2023-06-20T21:41:56.529000Z,2023-06-20T21:48:39.981000Z,2023-06-21T14:48:44.596000,2023-06-20T21:48:40.451147Z,404,C92BA3A3,803,53,Male,White,United States,United States,United States,English,No,Other
64921d2b565b84c9440f317d,63f804e5483d1817b4f207b9,APPROVED,2023-06-20T21:42:08.813000Z,2023-06-20T21:54:12.277000Z,2023-06-21T14:48:44.754000,2023-06-20T21:54:12.864339Z,724,C92BA3A3,95,25,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
64921d3c681224c13d8b984e,632b5400bf46cdb11db9f588,APPROVED,2023-06-20T21:42:23.654000Z,2023-06-20T21:45:51.222000Z,2023-06-21T14:48:44.932000,2023-06-20T21:45:51.763340Z,208,C92BA3A3,220,26,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
