StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,prolific_pid,choice_a,value_a,Q36_First Click,Q36_Last Click,Q36_Page Submit,Q36_Click Count,rating1,value1,rating2,value2,attention_color,attention_color_5_TEXT,choice_b,value_b,Q37_First Click,Q37_Last Click,Q37_Page Submit,Q37_Click Count,rating3,value3,rating4,value4,choice_c,value_c,Q75_First Click,Q75_Last Click,Q75_Page Submit,Q75_Click Count,rating5,value5,rating6,value6,choice_d,value_d,Q85_First Click,Q85_Last Click,Q85_Page Submit,Q85_Click Count,rating7,value7,rating8,value8,attention_number,attention_number_6_TEXT,resp_gender,resp_citizen,resp_born,resp_politics,resp_sexuality,resp_education,resp_religion,resp_attend,resp_knowlg,resp_imm_support_1,resp_imm_support_2,resp_imm_support_3,resp_imm_support_4,resp_imm_support_5,resp_imm_support_6,resp_imm_support_7,resp_imm_support_8,resp_imm_support_9,resp_imm_support_10,resp_imm_support_11,PROLIFIC_PID,gender1,pronoun1,possessive1,pronoun_cap1,sexuality1,gender2,pronoun2,possessive2,pronoun_cap2,sexuality2,gender3,pronoun3,possessive3,pronoun_cap3,sexuality3,gender4,pronoun4,possessive4,pronoun_cap4,sexuality4,Create New Field or Choose From Dropdown...,gender5,pronoun5,possessive5,pronoun_cap5,sexuality5,gender6,pronoun6,possessive6,pronoun_cap6,sexuality6,gender7,pronoun7,possessive7,pronoun_cap7,sexuality7,gender8,pronoun8,possessive8,pronoun_cap8,sexuality8,gdp1,gdp2,gdp3,gdp4,gdp5,gdp6,gdp7,gdp8,skill1,skill2,skill3,skill4,skill5,skill6,skill7,skill8,lang1,lang2,lang3,lang4,lang5,lang6,lang7,lang8,religion1,religion2,religion3,religion4,religion5,religion6,religion7,religion8,reason1,reason2,reason3,reason4,reason5,reason6,reason7,reason8
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"ADULT CONSENT FORM

PRINCETON UNIVERSITY



TITLE OF RESEARCH: Understanding U.S. Citizens' Views on Immigrants



PRINCIPAL INVESTIGATOR: Dr. Kristopher Velasco



PRINCIPAL INVESTIGATOR’S DEPARTMENT: Sociology



 
Key information about the study:


Your informed consent is being sought for research. Participation in the research is voluntary.



The purpose of the research is to understand how U.S. citizens view potential immigrants.



The expected duration of the subject's participation is 6 minutes.



The procedures that the subject will be asked to follow in the research: Research subjects will be asked to read different immigrant profiles and select which one they want to enter the country. Research subjects will then be asked to answer a few demographic questions.



The reasonably foreseeable risks or discomforts to the subject as a result of participation: There are no more than minimal risks to the research subjects.



The benefits to the subject or to others, e.g., society that may reasonably be expected from the research: This research will help assess which characteristics U.S. citizens value when it comes to potential immigrants entering the country. This research can help policymakers understand how the public views different types of immigrants and, relatedly, which types of visas the federal government should prioritize.



The alternative procedures, if any, that might be advantageous to the subject: Subjects will also benefit by receiving financial compensation for their participation.

 
Additional information about the study:


Confidentiality:

All records from this study will be kept confidential. Your responses will be kept private, and we will not include any information that will make it possible to identify you in any report we might publish.

Research records will be stored securely in a locked cabinet and/or on password-protected computers. The research team will be the only party that will have access to your data.



Compensation:
Research subjects will be compensated $1.20 for their participation in this study.

 
Who to contact with questions:


Principal investigator: kvelasco@princeton.edu



If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the Investigator, please contact the Institutional Review Board at:



Phone: (609) 258-8543

Email: irb@princeton.edu

 
Summary:
I understand the information that was presented and that:



My participation is voluntary.



Refusal to participate will involve no penalty or loss of benefits to which I am otherwise entitled. I may discontinue participation at any time without penalty or loss of benefits.

I do not waive any legal rights or release Princeton University or its agents from liability for negligence. I hereby give my consent to be the subject of the research.","What is your Prolific ID?
Please note that this response should auto-fill with the correct ID.","Based on their descriptions, which of these two immigrants would you personally prefer to see admitted to the United States?","Based on their descriptions, which of these two immigrants do you think has greater shared values with the United States?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Regarding admission, how would you rate immigrant 1? A rating of 1 means that the U.S. should absolutely not admit immigrant 1, and a 7 means that the U.S. should definitely admit this immigrant.","To what degree do you think immigrant 1 has shared values with the U.S.? Choosing 1 signifies having no shared values, and 7 signifies a great deal of shared values.","Regarding admission, how would you rate immigrant 2? A rating of 1 means that the U.S. should absolutely not admit immigrant 2, and a 7 means that the U.S.  should definitely admit this immigrant.","To what degree do you think immigrant 2 has shared values with the U.S.? Choosing 1 signifies having no shared values, and 7 signifies a great deal of shared values.","Based on the text above, which color have you been asked to enter? - Selected Choice","Based on the text above, which color have you been asked to enter? - Other - Text","Based on their descriptions, which of these two immigrants would you personally prefer to see admitted to the United States?","Based on their descriptions, which of these two immigrants do you think has greater shared values with the United States?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Regarding admission, how would you rate immigrant 3? A rating of 1 means that the U.S. should absolutely not admit immigrant 3, and a 7 means that the U.S. should definitely admit this immigrant.","To what degree do you think immigrant 3 has shared values with the U.S.? Choosing 1 signifies having no shared values, and 7 signifies a great deal of shared values.","Regarding admission, how would you rate immigrant 4? A rating of 1 means that the U.S. should absolutely not admit immigrant 4, and a 7 means that the U.S. should definitely admit this immigrant.","To what degree do you think immigrant 4 has shared values with the U.S.? Choosing 1 signifies having no shared values, and 7 signifies a great deal of shared values.","Based on their descriptions, which of these two immigrants would you personally prefer to see admitted to the United States?","Based on their descriptions, which of these two immigrants do you think has greater shared values with the United States?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Regarding admission, how would you rate immigrant 5? A rating of 1 means that the U.S. should absolutely not admit immigrant 5, and a 7 means that the U.S. should definitely admit this immigrant.","To what degree do you think immigrant 5 has shared values with the U.S.? Choosing 1 signifies having no shared values, and 7 signifies a great deal of shared values.","Regarding admission, how would you rate immigrant 6? A rating of 1 means that the U.S. should absolutely not admit immigrant 6, and a 7 means that the U.S. should definitely admit this immigrant.","To what degree do you think immigrant 6 has shared values with the U.S.? Choosing 1 signifies having no shared values, and 7 signifies a great deal of shared values.","Based on their descriptions, which of these two immigrants would you personally prefer to see admitted to the United States?","Based on their descriptions, which of these two immigrants do you think has greater shared values with the United States?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Regarding admission, how would you rate immigrant 7? A rating of 1 means that the U.S. should absolutely not admit immigrant 7, and a 7 means that the U.S. should definitely admit this immigrant.","To what degree do you think immigrant 7 has shared values with the U.S.? Choosing 1 signifies having no shared values, and 7 signifies a great deal of shared values.","Regarding admission, how would you rate immigrant 8? A rating of 1 means that the U.S. should absolutely not admit immigrant 8, and a 7 means that the U.S. should definitely admit this immigrant.","To what degree do you think immigrant 8 has shared values with the U.S.? Choosing 1 signifies having no shared values, and 7 signifies a great deal of shared values.",What is 3+6? - Selected Choice,What is 3+6? - Other - Text,What is your gender?,Are you a citizen of the United States?,Were you born a citizen of the United States?,"Do you consider yourself a Democrat, a Republican, an independent, or none of these?","This next question is about sexual orientation. Which of the
following best represents how you think of yourself?",What is the highest level of schooling you have completed?,"What is your present religion, if any?",How often do you attend religious services?,Do you have any friends or family members who are lesbian or gay?,To what extent do you agree or disagree with the following statements about immigration to the U.S.? - Immigrants help the economy.,To what extent do you agree or disagree with the following statements about immigration to the U.S.? - Immigrants do necessary jobs.,To what extent do you agree or disagree with the following statements about immigration to the U.S.? - Immigrants pay taxes.,"To what extent do you agree or disagree with the following statements about immigration to the U.S.? - Immigrants make positive contributions to food, music, and the arts.",To what extent do you agree or disagree with the following statements about immigration to the U.S.? - It is important to help people fleeing violence and oppression.,To what extent do you agree or disagree with the following statements about immigration to the U.S.? - Immigrants hurt the economy.,To what extent do you agree or disagree with the following statements about immigration to the U.S.? - Immigrants take jobs away from American workers.,"To what extent do you agree or disagree with the following statements about immigration to the U.S.? - Immigrants strain the welfare system (such as food stamps, public housing, and Medicaid).",To what extent do you agree or disagree with the following statements about immigration to the U.S.? - Immigrants increase crime.,To what extent do you agree or disagree with the following statements about immigration to the U.S.? - Immigration contributes to overpopulation.,To what extent do you agree or disagree with the following statements about immigration to the U.S.? - Immigrants change American culture for the worse.,PROLIFIC_PID,gender1,pronoun1,possessive1,pronoun_cap1,sexuality1,gender2,pronoun2,possessive2,pronoun_cap2,sexuality2,gender3,pronoun3,possessive3,pronoun_cap3,sexuality3,gender4,pronoun4,possessive4,pronoun_cap4,sexuality4,Create New Field or Choose From Dropdown...,gender5,pronoun5,possessive5,pronoun_cap5,sexuality5,gender6,pronoun6,possessive6,pronoun_cap6,sexuality6,gender7,pronoun7,possessive7,pronoun_cap7,sexuality7,gender8,pronoun8,possessive8,pronoun_cap8,sexuality8,gdp1,gdp2,gdp3,gdp4,gdp5,gdp6,gdp7,gdp8,skill1,skill2,skill3,skill4,skill5,skill6,skill7,skill8,lang1,lang2,lang3,lang4,lang5,lang6,lang7,lang8,religion1,religion2,religion3,religion4,religion5,religion6,religion7,religion8,reason1,reason2,reason3,reason4,reason5,reason6,reason7,reason8
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID95""}","{""ImportId"":""QID61_FIRST_CLICK""}","{""ImportId"":""QID61_LAST_CLICK""}","{""ImportId"":""QID61_PAGE_SUBMIT""}","{""ImportId"":""QID61_CLICK_COUNT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID51""}","{""ImportId"":""QID51_5_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID97""}","{""ImportId"":""QID62_FIRST_CLICK""}","{""ImportId"":""QID62_LAST_CLICK""}","{""ImportId"":""QID62_PAGE_SUBMIT""}","{""ImportId"":""QID62_CLICK_COUNT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID73""}","{""ImportId"":""QID98""}","{""ImportId"":""QID75_FIRST_CLICK""}","{""ImportId"":""QID75_LAST_CLICK""}","{""ImportId"":""QID75_PAGE_SUBMIT""}","{""ImportId"":""QID75_CLICK_COUNT""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID83""}","{""ImportId"":""QID99""}","{""ImportId"":""QID85_FIRST_CLICK""}","{""ImportId"":""QID85_LAST_CLICK""}","{""ImportId"":""QID85_PAGE_SUBMIT""}","{""ImportId"":""QID85_CLICK_COUNT""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91""}","{""ImportId"":""QID60""}","{""ImportId"":""QID60_6_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID36""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID100""}","{""ImportId"":""QID68_1""}","{""ImportId"":""QID68_4""}","{""ImportId"":""QID68_14""}","{""ImportId"":""QID68_15""}","{""ImportId"":""QID68_16""}","{""ImportId"":""QID68_22""}","{""ImportId"":""QID68_23""}","{""ImportId"":""QID68_24""}","{""ImportId"":""QID68_25""}","{""ImportId"":""QID68_26""}","{""ImportId"":""QID68_27""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""gender1""}","{""ImportId"":""pronoun1""}","{""ImportId"":""possessive1""}","{""ImportId"":""pronoun_cap1""}","{""ImportId"":""sexuality1""}","{""ImportId"":""gender2""}","{""ImportId"":""pronoun2""}","{""ImportId"":""possessive2""}","{""ImportId"":""pronoun_cap2""}","{""ImportId"":""sexuality2""}","{""ImportId"":""gender3""}","{""ImportId"":""pronoun3""}","{""ImportId"":""possessive3""}","{""ImportId"":""pronoun_cap3""}","{""ImportId"":""sexuality3""}","{""ImportId"":""gender4""}","{""ImportId"":""pronoun4""}","{""ImportId"":""possessive4""}","{""ImportId"":""pronoun_cap4""}","{""ImportId"":""sexuality4""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""gender5""}","{""ImportId"":""pronoun5""}","{""ImportId"":""possessive5""}","{""ImportId"":""pronoun_cap5""}","{""ImportId"":""sexuality5""}","{""ImportId"":""gender6""}","{""ImportId"":""pronoun6""}","{""ImportId"":""possessive6""}","{""ImportId"":""pronoun_cap6""}","{""ImportId"":""sexuality6""}","{""ImportId"":""gender7""}","{""ImportId"":""pronoun7""}","{""ImportId"":""possessive7""}","{""ImportId"":""pronoun_cap7""}","{""ImportId"":""sexuality7""}","{""ImportId"":""gender8""}","{""ImportId"":""pronoun8""}","{""ImportId"":""possessive8""}","{""ImportId"":""pronoun_cap8""}","{""ImportId"":""sexuality8""}","{""ImportId"":""gdp1""}","{""ImportId"":""gdp2""}","{""ImportId"":""gdp3""}","{""ImportId"":""gdp4""}","{""ImportId"":""gdp5""}","{""ImportId"":""gdp6""}","{""ImportId"":""gdp7""}","{""ImportId"":""gdp8""}","{""ImportId"":""skill1""}","{""ImportId"":""skill2""}","{""ImportId"":""skill3""}","{""ImportId"":""skill4""}","{""ImportId"":""skill5""}","{""ImportId"":""skill6""}","{""ImportId"":""skill7""}","{""ImportId"":""skill8""}","{""ImportId"":""lang1""}","{""ImportId"":""lang2""}","{""ImportId"":""lang3""}","{""ImportId"":""lang4""}","{""ImportId"":""lang5""}","{""ImportId"":""lang6""}","{""ImportId"":""lang7""}","{""ImportId"":""lang8""}","{""ImportId"":""religion1""}","{""ImportId"":""religion2""}","{""ImportId"":""religion3""}","{""ImportId"":""religion4""}","{""ImportId"":""religion5""}","{""ImportId"":""religion6""}","{""ImportId"":""religion7""}","{""ImportId"":""religion8""}","{""ImportId"":""reason1""}","{""ImportId"":""reason2""}","{""ImportId"":""reason3""}","{""ImportId"":""reason4""}","{""ImportId"":""reason5""}","{""ImportId"":""reason6""}","{""ImportId"":""reason7""}","{""ImportId"":""reason8""}"
2023-01-31 11:20:04,2023-01-31 11:23:33,IP Address,*******,100,209,True,2023-01-31 11:23:34,R_8pIWG3FzfgIoich,*******,*******,*******,*******,*******,*******,anonymous,EN,I hereby give my consent to be the subject of the research.,63d2dbf580f545cee8d30c22,Immigrant 2 should be admitted.,,18.47,18.47,31.874,1,5,6,7 (definitely admit),7 (a great deal of shared values),Other,Green,Immigrant 4 should be admitted.,,48.949,48.949,51.137,1,5,4,7 (definitely admit),3,,,,,,,,,,,,,,,,,,,,,Other,9,Man,Yes,Yes,Democrat,Lesbian or gay,Bachelor's degree,Nothing in particular,Never,,,,,,,,,,,,,63d2dbf580f545cee8d30c22,woman,she,her,She,"straight (that is, not lesbian)",man,he,his,He,gay,man,he,his,He,"straight (that is, not gay)",man,he,his,He,"straight (that is, not gay)",,,,,,,,,,,,,,,,,,,,,,moderately wealthy,low-income,moderately wealthy,low-income,,,,,"has a primary school education, and works as a cleaner","has an MD, and works as a cardiologist","has a primary school education, and works as a cleaner","has a primary school education, and works as a cleaner",,,,,speaks English,does not speak English,speaks English,does not speak English,,,,,Christian,Christian,Muslim,Christian,,,,,feared government persecution,could not find work due to high unemployment,could not find work due to high unemployment,could not find work due to high unemployment,,,,
2023-01-31 12:03:08,2023-01-31 12:11:13,IP Address,*******,100,485,True,2023-01-31 12:11:14,R_42Z8CjX13W82f3r,*******,*******,*******,*******,*******,*******,anonymous,EN,I hereby give my consent to be the subject of the research.,63d2dbf580f545cee8d30c22,Immigrant 1 should be admitted.,,21.233,21.233,32.751,1,5,4,6,3,Orange,,Immigrant 3 should be admitted.,,3.231,3.231,31.233,1,6,4,5,3,,,,,,,,,,,,,,,,,,,,,8,,Woman,Yes,No,Republican,Something else,Less than high school,Atheist (do not believe in God),About once a month,,,,,,,,,,,,,63d2dbf580f545cee8d30c22,woman,she,her,She,lesbian,woman,she,her,She,lesbian,woman,she,her,She,lesbian,man,he,his,He,gay,,,,,,,,,,,,,,,,,,,,,,moderately wealthy,moderately wealthy,low-income,low-income,,,,,"has an MD, and works as a cardiologist","has a primary school education, and works as a cleaner","has a primary school education, and works as a cleaner","has a high school degree, and works as a restaurant manager",,,,,does not speak English,speaks English,does not speak English,speaks English,,,,,Muslim,Christian,Muslim,Muslim,,,,,could not find work due to high unemployment,feared government persecution,feared government persecution,could not find work due to high unemployment,,,,
2023-01-31 12:22:12,2023-01-31 12:29:32,IP Address,*******,100,439,True,2023-01-31 12:29:33,R_278Rr3K4gk2cfPI,*******,*******,*******,*******,*******,*******,anonymous,EN,I hereby give my consent to be the subject of the research.,5cd063ce657e300016f6c95a,Immigrant 1 should be admitted.,,6.673,148.586,158.08,4,7 (definitely admit),5,6,6,Other,Green.,Immigrant 3 should be admitted.,,4.635,59.955,70.875,6,7 (definitely admit),5,6,5,,,,,,,,,,,,,,,,,,,,,Other,9.,Other,Yes,Yes,Independent,Something else,Some college,Agnostic (not sure if there is a God),Less than once a year,,,,,,,,,,,,,5cd063ce657e300016f6c95a,woman,she,her,She,"straight (that is, not lesbian)",woman,she,her,She,"straight (that is, not lesbian)",man,he,his,He,gay,woman,she,her,She,"straight (that is, not lesbian)",,,,,,,,,,,,,,,,,,,,,,low-income,moderately wealthy,low-income,moderately wealthy,,,,,"has an MD, and works as a cardiologist","has a primary school education, and works as a cleaner","has an MD, and works as a cardiologist","has a primary school education, and works as a cleaner",,,,,speaks English,speaks English,does not speak English,does not speak English,,,,,Christian,Christian,Christian,Christian,,,,,feared government persecution,feared government persecution,feared government persecution,feared government persecution,,,,
2023-01-31 12:26:24,2023-01-31 12:29:52,IP Address,*******,100,208,True,2023-01-31 12:29:53,R_2wa7u3HSM2TYR7b,*******,*******,*******,*******,*******,*******,anonymous,EN,I hereby give my consent to be the subject of the research.,5d90c4fadf90b6001549561e,Immigrant 1 should be admitted.,,19.374,23.066,54.323,2,6,4,1 (definitely don't admit),2,Other,Green,Immigrant 3 should be admitted.,,16.945,16.945,66.801,1,3,3,1 (definitely don't admit),2,,,,,,,,,,,,,,,,,,,,,Other,9,Woman,Yes,Yes,Republican,"Straight (that is, not gay or lesbian)",High school,Roman Catholic (Catholic),Never,,,,,,,,,,,,,5d90c4fadf90b6001549561e,man,he,his,He,"straight (that is, not gay)",man,he,his,He,"straight (that is, not gay)",man,he,his,He,gay,man,he,his,He,gay,,,,,,,,,,,,,,,,,,,,,,moderately wealthy,low-income,moderately wealthy,low-income,,,,,"has a high school degree, and works as a restaurant manager","has a high school degree, and works as a restaurant manager","has a primary school education, and works as a cleaner","has a primary school education, and works as a cleaner",,,,,speaks English,does not speak English,does not speak English,does not speak English,,,,,Muslim,Christian,Muslim,Christian,,,,,could not find work due to high unemployment,could not find work due to high unemployment,feared government persecution,could not find work due to high unemployment,,,,
2023-01-31 12:29:09,2023-01-31 12:32:13,IP Address,*******,100,184,True,2023-01-31 12:32:14,R_32SiYdBaiVilAOi,*******,*******,*******,*******,*******,*******,anonymous,EN,I hereby give my consent to be the subject of the research.,61005846cbe173e04d3ad69d,Immigrant 2 should be admitted.,,28.597,28.597,32.082,1,7 (definitely admit),7 (a great deal of shared values),7 (definitely admit),7 (a great deal of shared values),Other,green,Immigrant 4 should be admitted.,,33.257,33.257,34.924,1,7 (definitely admit),7 (a great deal of shared values),7 (definitely admit),7 (a great deal of shared values),,,,,,,,,,,,,,,,,,,,,Other,9,Woman,Yes,Yes,Democrat,"Straight (that is, not gay or lesbian)",Bachelor's degree,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church of Christ, Jehovah’s Witness, etc.)",Every week,,,,,,,,,,,,,61005846cbe173e04d3ad69d,woman,she,her,She,"straight (that is, not lesbian)",woman,she,her,She,lesbian,woman,she,her,She,lesbian,man,he,his,He,"straight (that is, not gay)",,,,,,,,,,,,,,,,,,,,,,low-income,moderately wealthy,moderately wealthy,moderately wealthy,,,,,"has a high school degree, and works as a restaurant manager","has an MD, and works as a cardiologist","has a primary school education, and works as a cleaner","has a primary school education, and works as a cleaner",,,,,speaks English,does not speak English,speaks English,does not speak English,,,,,Muslim,Muslim,Christian,Christian,,,,,could not find work due to high unemployment,feared government persecution,could not find work due to high unemployment,feared government persecution,,,,
2023-01-31 12:31:22,2023-01-31 12:34:36,IP Address,*******,100,193,True,2023-01-31 12:34:37,R_sNcNpook95oOjf3,*******,*******,*******,*******,*******,*******,anonymous,EN,I hereby give my consent to be the subject of the research.,62eda5558d22fb31eba6a451,Immigrant 1 should be admitted.,,15.601,15.601,33.101,1,6,5,3,5,Other,Green,Immigrant 4 should be admitted.,,10.242,10.242,33.965,1,2,4,7 (definitely admit),5,,,,,,,,,,,,,,,,,,,,,Other,9,Man,Yes,Yes,Republican,"Straight (that is, not gay or lesbian)",Bachelor's degree,Other Christian,Less than once a year,,,,,,,,,,,,,62eda5558d22fb31eba6a451,woman,she,her,She,lesbian,man,he,his,He,gay,man,he,his,He,"straight (that is, not gay)",man,he,his,He,gay,,,,,,,,,,,,,,,,,,,,,,low-income,low-income,moderately wealthy,low-income,,,,,"has an MD, and works as a cardiologist","has a primary school education, and works as a cleaner","has a primary school education, and works as a cleaner","has an MD, and works as a cardiologist",,,,,speaks English,speaks English,speaks English,does not speak English,,,,,Muslim,Christian,Muslim,Muslim,,,,,feared government persecution,could not find work due to high unemployment,could not find work due to high unemployment,feared government persecution,,,,
2023-01-31 12:38:01,2023-01-31 12:41:09,IP Address,*******,100,188,True,2023-01-31 12:41:10,R_3dGv4NzZst7gTnD,*******,*******,*******,*******,*******,*******,anonymous,EN,I hereby give my consent to be the subject of the research.,5af5e1f733b0ee00011e9bdd,Immigrant 1 should be admitted.,,1.776,28.643,32.947,3,7 (definitely admit),7 (a great deal of shared values),7 (definitely admit),7 (a great deal of shared values),Other,Green,Immigrant 3 should be admitted.,,3.862,19.402,31.451,3,7 (definitely admit),7 (a great deal of shared values),7 (definitely admit),7 (a great deal of shared values),,,,,,,,,,,,,,,,,,,,,Other,9,Woman,Yes,Yes,Democrat,"Straight (that is, not gay or lesbian)",Bachelor's degree,Nothing in particular,Never,,,,,,,,,,,,,5af5e1f733b0ee00011e9bdd,man,he,his,He,"straight (that is, not gay)",man,he,his,He,"straight (that is, not gay)",man,he,his,He,gay,woman,she,her,She,"straight (that is, not lesbian)",,,,,,,,,,,,,,,,,,,,,,low-income,moderately wealthy,moderately wealthy,moderately wealthy,,,,,"has a primary school education, and works as a cleaner","has a primary school education, and works as a cleaner","has a high school degree, and works as a restaurant manager","has a primary school education, and works as a cleaner",,,,,speaks English,does not speak English,speaks English,speaks English,,,,,Muslim,Muslim,Muslim,Muslim,,,,,feared government persecution,feared government persecution,feared government persecution,could not find work due to high unemployment,,,,
2023-01-31 12:43:53,2023-01-31 12:47:41,IP Address,*******,100,228,True,2023-01-31 12:47:42,R_1Eg5oGHsImCDcMs,*******,*******,*******,*******,*******,*******,anonymous,EN,I hereby give my consent to be the subject of the research.,60fd22d962feca25dc5c5958,Immigrant 2 should be admitted.,,73.986,73.986,77.292,1,5,4,7 (definitely admit),7 (a great deal of shared values),Other,Green,Immigrant 4 should be admitted.,,1.686,1.686,33.558,1,6,5,5,4,,,,,,,,,,,,,,,,,,,,,Other,9,Woman,Yes,Yes,Democrat,"Straight (that is, not gay or lesbian)",Some college,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church of Christ, Jehovah’s Witness, etc.)",Several times a year,,,,,,,,,,,,,60fd22d962feca25dc5c5958,man,he,his,He,gay,woman,she,her,She,lesbian,man,he,his,He,gay,man,he,his,He,gay,,,,,,,,,,,,,,,,,,,,,,low-income,low-income,low-income,low-income,,,,,"has a primary school education, and works as a cleaner","has a primary school education, and works as a cleaner","has an MD, and works as a cardiologist","has a primary school education, and works as a cleaner",,,,,speaks English,does not speak English,speaks English,speaks English,,,,,Christian,Muslim,Muslim,Christian,,,,,could not find work due to high unemployment,could not find work due to high unemployment,feared government persecution,could not find work due to high unemployment,,,,
